epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5255,2.40265,3.75849,1.91762,0.01714,0.406,0.11314,0.09441,0.73558,3.62942,0.94096,5.555e-05,5.555e-05,5.555e-05
2,46.2731,1.78692,3.59697,1.47641,0.02266,0.388,0.18106,0.13287,0.99848,3.64365,1.02859,0.00011979,0.00011979,0.00011979
3,68.6667,1.67518,3.3184,1.35335,0.06745,0.43345,0.15141,0.09998,1.02416,3.65215,1.03062,0.000181391,0.000181391,0.000181391
4,90.2704,1.62334,3.1206,1.29715,0.15584,0.44724,0.19183,0.12899,1.05009,3.59855,1.04359,0.000240352,0.000240352,0.000240352
5,111.913,1.56852,2.88229,1.33182,0.15,0.47841,0.2108,0.14188,1.12145,3.56341,1.07946,0.000296673,0.000296673,0.000296673
6,133.953,1.56084,2.62961,1.27145,0.05647,0.57938,0.27502,0.18472,1.09381,3.49819,1.06612,0.000350354,0.000350354,0.000350354
7,155.89,1.52682,2.36295,1.28425,0.0438,0.71717,0.37003,0.25675,1.03155,3.41174,1.02299,0.000401395,0.000401395,0.000401395
8,176.884,1.51902,2.10492,1.26339,0.04317,0.73552,0.4441,0.30175,0.99842,3.29771,1.02819,0.000449797,0.000449797,0.000449797
9,198.25,1.52936,1.93288,1.301,0.04592,0.67862,0.44855,0.29716,1.02795,3.22572,1.04654,0.000495559,0.000495559,0.000495559
10,218.689,1.4859,1.70067,1.31054,0.75753,0.34107,0.45109,0.29726,1.03798,3.17403,1.04649,0.000538682,0.000538682,0.000538682
11,239.741,1.45566,1.58903,1.28323,0.9789,0.2149,0.47368,0.32624,1.01066,3.06835,1.04435,0.000579164,0.000579164,0.000579164
12,261.484,1.46783,1.49936,1.27657,0.85512,0.32309,0.51549,0.31918,1.15904,2.69957,1.16949,0.000617007,0.000617007,0.000617007
13,283.723,1.45553,1.41414,1.26619,0.81944,0.36766,0.54649,0.30064,1.27676,2.4211,1.2359,0.00065221,0.00065221,0.00065221
14,305.387,1.38871,1.31562,1.24341,0.82917,0.38709,0.57806,0.3087,1.39032,2.35248,1.2778,0.000684774,0.000684774,0.000684774
15,326.967,1.45484,1.28868,1.29056,0.91022,0.36401,0.57883,0.32389,1.41279,2.32808,1.30435,0.000714697,0.000714697,0.000714697
16,349.123,1.44969,1.30147,1.26829,0.6876,0.42652,0.58077,0.35576,1.20406,2.13437,1.2607,0.000741981,0.000741981,0.000741981
17,369.643,1.38146,1.27049,1.26435,0.66975,0.44439,0.60543,0.36397,1.24369,1.98178,1.27863,0.000759035,0.000759035,0.000759035
18,391.013,1.34234,1.18022,1.23486,0.66419,0.57503,0.66386,0.43097,1.19262,1.69116,1.23762,0.000737037,0.000737037,0.000737037
19,412.333,1.31616,1.15704,1.2028,0.63978,0.61191,0.65767,0.41483,1.23347,1.60052,1.24704,0.00071504,0.00071504,0.00071504
20,433.787,1.30601,1.14811,1.21759,0.93638,0.4661,0.65574,0.41092,1.23876,1.52552,1.2307,0.000693042,0.000693042,0.000693042
21,467.334,1.26745,1.10435,1.19378,0.76558,0.52171,0.64114,0.41776,1.18501,1.52519,1.20263,0.000671044,0.000671044,0.000671044
22,489.017,1.34052,1.13722,1.20294,0.71619,0.63344,0.68433,0.47124,1.1133,1.40303,1.17777,0.000649046,0.000649046,0.000649046
23,511.023,1.32382,1.07839,1.18064,0.87031,0.54228,0.68373,0.47627,1.09043,1.29009,1.17707,0.000627048,0.000627048,0.000627048
24,533.167,1.35788,1.12824,1.23179,0.88793,0.57328,0.72847,0.48417,1.10648,1.21876,1.18501,0.000605051,0.000605051,0.000605051
25,554.538,1.28248,1.04369,1.16429,0.83556,0.65986,0.75297,0.46341,1.18704,1.20307,1.22159,0.000583053,0.000583053,0.000583053
26,576.399,1.22012,1.03216,1.14471,0.70708,0.8214,0.80236,0.48986,1.03642,1.07156,1.14243,0.000561055,0.000561055,0.000561055
27,597.991,1.16644,1.03195,1.15078,0.72532,0.79163,0.80904,0.49978,0.99419,1.02731,1.124,0.000539057,0.000539057,0.000539057
28,619.922,1.17238,1.04423,1.15766,0.76876,0.76012,0.78899,0.48744,1.08272,1.05231,1.17681,0.000517059,0.000517059,0.000517059
29,641.472,1.19083,0.99837,1.14853,0.78314,0.73953,0.79619,0.48177,1.08003,1.05585,1.17245,0.000495062,0.000495062,0.000495062
30,663.011,1.12691,0.98677,1.11741,0.91957,0.71187,0.83276,0.52371,1.05374,1.00039,1.16195,0.000473064,0.000473064,0.000473064
31,685.295,1.17921,0.97839,1.13742,0.81303,0.79321,0.83745,0.53048,1.05609,0.99276,1.16537,0.000451066,0.000451066,0.000451066
32,707.674,1.1689,0.95487,1.12287,0.89403,0.79308,0.84418,0.54214,1.09702,0.99348,1.15813,0.000429068,0.000429068,0.000429068
33,741.346,1.13579,0.93176,1.11094,0.89984,0.81337,0.85444,0.53467,1.12891,0.99828,1.15785,0.00040707,0.00040707,0.00040707
34,775.025,1.16412,0.97967,1.13337,0.86283,0.8224,0.85203,0.51775,1.09167,0.96815,1.13416,0.000385073,0.000385073,0.000385073
